part_number,quantity,guide_parice
22129BC080034L,10,15.7165
22208TK050012X,10,6.953
22129BC080046L,10,16.252
22129BE080032L,2,19.5245
L22129-80-32BEL,2,19.5245
22129BE080048L,2,17.748
22126CE040038,1,20.808
22293AG020016U,5,20.7825
22271BC040020L,10,2.2015
L22271-40-20BCL,10,2.2015
22271BC030016L,10,1.7935
22271BC040068L,1,8.67
22271BC050028L,10,3.213
22271BC050040L,10,3.978
L22271-50-40BCL,10,3.978
22272BC040044L,10,3.2725
22272BC040050L,10,3.3235
L22272-40-50BCL,10,3.3235
22272BC050004L,10,1.717
22272BC060008L,10,2.1335
L22272-60-8BCL,10,2.1335
22272TK050040X,1,10.455
22271TK050014X,2,6.069
L22271-50-14TKX,2,6.069
22273CE040028,10,2.55
22273CE050012,10,2.2015
22186BC040010L,10,1.734
L22186-40-10BCL,10,1.734
22251BC050014L,20,2.6095
22251BC050034L,10,4.046
22251BC050046L,10,6.222
L22251-50-46BCL,10,6.222
22251BC050062L,10,7.497
22256BC050006L,10,2.3035
L22256-50-6BCL,10,2.3035
22251BC060026L,10,4.8025
22256BC050028L,10,4.08
22256BC050032L,10,4.8365
L22256-50-32BCL,10,4.8365
22252BC050025L,10,5.049
L22252-50-25BCL,10,5.049
22252TK050004X,2,6.2985
L22252-50-4TKX,2,6.2985
22256TK050016X,2,8.313
22252TK050006X,1,8.7805
L22252-50-6TKX,1,8.7805
22252TK050022X,10,7.4205
L22252-50-22TKX,10,7.4205
22251TK040016X,2,6.171
22425BC080L,10,5.559
L22425-80BCL,10,5.559
22443BC100L,10,6.256
L22443-100BCL,10,6.256
5P6NYLSTOP,10,4.4285
5P6,10,4.4285
LH3830-054,1,25.653
52353CBD060N,10,2.057
52353BD060N,10,2.057
6SMR2209M,10,2.057
52355CBD050N,10,2.0655
52355BD050N,10,2.0655
5SMR3209M,10,2.0655
ASNA0027SB0503,10,3.5275
ASNA0078A504,10,2.873
CR3213-5-4,10,2.873
M7885-2-5-04,10,2.873
ASNA0077A502,5,2.72
CR3212-5-2,5,2.72
22731BC100018M,1,24.378
984427DG08D,10,5.372
6715000700,1,250.5035
6G75-520-358,1,250.5035
95-544-576,1,250.5035
95-944-576,1,250.5035
6725028900,1,170.85
581UN01A01A5,1,170.85
90-21-31P,1,344.505
8628-06,1,344.505
350866-1,100,0.408
350865-1,100,0.4335
3560-12,1,51.8415
3560-12XC38,1,51.8415
E0535-W5-2K4J,1,63.1635
111960202,1,63.1635
E0535-14,1,63.1635
BJE85,1,63.1635
6114GAA8B3ASN,1,29.1125
"1,8X15-64C8",10,9.435
81810-160-24B7,1,19.754
"19,80X3,60-24B7",1,19.754
3-6X19-8-24B7,1,19.754
7007-704,1,409.53
610-6068,1,409.53
59282-004,2,16.201
93121-40DGJ,10,8.4915
DS07-3S059,1,199.529
55103G,1,794.886
MS27400-17,1,206.6095
ES410-242B,1,206.6095
F400D4NC,1,206.6095
D10,1,109.0805
993503-095,10,7.9985
993503-256,10,7.65
993303-104-5,2,7.5395
993303-305-5,1,11.7725
993303-203-5,10,3.7315
993303-285-5,1,11.2115
EN4165A08-161AA,5,14.6625
MBBN3330U0816PA,5,14.6625
DMC-M08-16AA,5,14.6625
DMC-M08-16PA,5,14.6625
DMC-M08-16PA090,5,14.6625
EN4165A08-161BA,5,14.348
MBBN3330U0816PB,5,14.348
DMC-M08-16AB,5,14.348
EN4165A08-161CA,5,11.5685
MBBN3330U0816PC,5,11.5685
DMC-M08-16AC,5,11.5685
EN4165A12-201AA,2,14.603
DMC-M 12-20 AA,2,14.603
DMC-M12-20AA,2,14.603
EN4165A12-201CA,1,21.7175
DMC-M12-20AC,1,21.7175
EN4165A12-201DA,5,14.688
MBBN3330U1220PD,5,14.688
DMC-M12-20AD,5,14.688
EN4165A20-221AA,1,12.2825
MBBN3330U2022PA,1,12.2825
DMC-M20-22AA,1,12.2825
DMC-M20-22PA090,1,12.2825
EN4165A20-221BA,1,20.893
MBBN3330U2022PB,1,20.893
DMC-M20-22AB,1,20.893
EN4165A20-221CA,2,35.8785
DMC-M 20-22 AC,2,35.8785
DMC-M20-22AC,2,35.8785
EN4165A20-221DA,5,20.8505
MBBN3330U2022PD,5,20.8505
DMC-M20-22AD,5,20.8505
EN4165A04-121AA,2,12.5715
DMC-M04-12AA,2,12.5715
DMC-M04-12PA090,2,12.5715
EN4165A04-121DA,2,14.9515
DMC-M04-12AD,2,14.9515
EN4165A08-161DA,5,14.688
MBBN3330U0816PD,5,14.688
DMC-M08-16AD,5,14.688
410997,1,99.637
PC16AG24V2RT,1,525.8185
3059917,1,525.8185
PC16-2RT24VCCAG-PD,1,525.8185
PC622124,1,525.8185
4P94-080,1,36.72
401219,20,4.0545
22125BC030022L,20,5.117
L22125-30-22BCL,20,5.117
22125BC050064L,5,4.8025
22125BC060054L,10,7.3355
22125BC080018L,10,5.236
22125BC080030L,10,2.108
22125BC080036L,10,7.871
22125BE050012L,1,7.31
22125BE060014L,1,8.857
22125BE060020L,10,1.156
22125TK050014X,1,9.1205
22125TK050016X,10,6.358
22201BC060023L,10,6.783
L22201-60-23BCL,10,6.783
22201BC060028L,10,4.692
L22201-60-28BCL,10,4.692
22201BC080007L,5,12.0955
L22201-80-7BCL,5,12.0955
22201BC080010L,10,6.664
L22201-80-10BCL,10,6.664
22201BC080018L,10,7.225
L22201-80-18BCL,10,7.225
22201BC080052L,10,8.5255
22201BC120090L,1,21.4285
22208BC040040L,5,3.842
22208BC050040L,10,4.3945
22208BC050042L,10,3.281
22208BC050070L,10,6.63
22208BC060068L,10,7.718
L22208-60-68BCL,10,7.718
22208BC080012L,10,4.029
22208BC080018L,10,1.802
22208BC100024L,10,2.8305
22201BE060014L,5,7.5395
L22201-60-14BEL,5,7.5395
22201BE080021L,10,7.633
22201TK050003X,5,9.622
22208TK050010X,2,11.9935
22208TK050014X,5,9.554
22208TK050016X,1,13.311
22208CM050020,20,4.6325
22129BC060018L,10,12.0785
L22129-60-18BCL,10,12.0785
22129BC060020L,5,1.9805
L22129-60-20BCL,5,1.9805
22129BC060048L,5,13.6
22129BC060046L,10,15.2915
L22129-60-46BCL,10,15.2915
22129BC060054L,1,17.0595
22129BC080020L,5,10.574
L22129-80-20BCL,5,10.574
22129BC080074L,2,9.8685
22129BC100034L,1,15.6825
22126BC040010L,10,2.397
L22126-40-10BCL,10,2.397
22126BC040012L,10,2.567
L22126-40-12BCL,10,2.567
22126BC050034L,2,12.512
22126BC050040L,5,5.9585
22126BC060034L,10,9.3415
22202BC060011L,10,2.482
22202BC050030L,5,12.2485
22202BC060015L,5,37.1195
22209BC060028L,5,9.707
L22209-60-28BCL,5,9.707
MS9688-08,1,5.1085
22293AG025010U,10,6.8
L22293-25-10AGU,10,6.8
22293AG030010U,20,6.341
22293BC020008L,10,6.3325
22293BC020014L,10,7.1485
22296AG040020U,5,18.836
22220BC060024L,1,15.47
22220BE050036L,2,15.776
22220BE060038L,1,20.74
22220BE060030L,1,17.9265
22294AG020014U,5,15.3255
22294AG025010U,5,9.214
22294AG030010U,10,7.2675
L22296-30-10AGU,10,7.2675
22271BC040034L,10,2.907
L22271-40-34BCL,10,2.907
22271BC040040L,10,3.0855
L22271-40-40BCL,10,3.0855
22271BC050042L,10,4.1565
22271BC050050L,10,4.471
22272BC040028L,10,2.3885
L22272-40-28BCL,10,2.3885
22272BC030024L,5,2.465
L22272-30-24BCL,5,2.465
22272BC040040L,10,5.7205
22271DG040012C,5,1.887
MS51957-31B,50,1.3685
22272TK050012X,1,6.171
L22272-50-12TKX,1,6.171
22272TK040010X,10,3.859
22272CE030006,1,2.737
22272CE03-006,1,2.737
22272CE040006,5,2.295
22272CE040008,10,8.823
22273CE030016,10,1.7085
22273CE040006,10,1.632
22273CE050018,10,2.5245
22291AG025010U,2,3.1365
22251BC040018L,10,2.873
L22251-40-18BCL,10,2.873
22251BC050030L,10,4.5815
22251BC060020L,10,4.1565
22251BC060022L,1,7.5225
22251BC060024L,10,4.7685
22256BC050034L,10,2.278
22256BC05034L,10,2.278
22252BC050011L,10,3.7145
L22252-50-11BCL,10,3.7145
22252BC080016L,2,11.2795
22256BC040010T,10,2.261
L22256-40-10BCT,10,2.261
22256TK050018X,10,6.052
22256TK050020X,10,7.242
22252TK050020X,1,9.8345
PA6/6M4X6,10,3.3915
A0164TK060S016X,10,6.256
51403-04-064,100,0.153
51403-04-064L,100,0.153
22461DG100A,1,14.314
22437BC050L,10,5.6185
22443BC200L,1,33.252
22431CC025,5,3.7995
L22431-25CC,5,3.7995
22441BC160L,10,3.995
L22441-160BCL,10,3.995
52356CBD030N,10,1.411
52356BD030N,10,1.411
3SR4009M,10,1.411
52350CCM030E,1,8.1685
3SR1005,1,8.1685
52350CBD100N,2,18.768
52350BD100N,2,18.768
10SR1009M,2,18.768
52350FBD030N,10,1.683
52350FBD060N,10,3.366
6SR1009MK,10,3.366
52358CBD030N,1,8.3215
3SF5009M,1,8.3215
52360FBD050N,10,4.3605
52354CCM040E,2,5.916
52354CBD050N,10,2.3375
52354BD050N,10,2.3375
5SR3009M,10,2.3375
52351CCM060E,2,7.6415
4SMRB1209M,10,1.9465
52353CCM040E,10,5.508
52353CM040E,10,5.508
4SMR2205,10,5.508
ASNA0227-05030A,1,17.663
ASNA0078A407,10,2.5245
CR3213-4-7,10,2.5245
CR3213-4-7.,10,2.5245
ASNA0077A503,10,2.652
CR3212-5-3,10,2.652
M7885-3-5-03,10,2.652
22719BC040020L,5,11.0415
L22719-40-20BCL,5,11.0415
22719BC040032L,1,69.3345
22719BC060039L,1,9.5455
L22719-60-39BCL,1,9.5455
22719BC060056L,2,17.051
L22719-60-56BCL,2,17.051
22719BC060012L,2,11.9765
22719BC100056L,1,89.097
22731BC050044M,2,20.876
22731BC050046M,5,15.419
22731BC060028M,5,17.5015
L22731-60-28BCM,5,17.5015
22731BC060038M,1,28.6025
L22731-60-38BCM,1,28.6025
22731BC060046M,5,21.641
L22731-60-46BCM,5,21.641
22731BC060039M,10,10.897
22731BC060047M,2,38.1565
L22731-60-47BCM,2,38.1565
22731BC080009M,10,19.9495
L22731-80-9BCM,10,19.9495
22731BC080040M,1,33.626
L22731-80-40BCM,1,33.626
22731BC080047M,1,25.381
L22731-80-47BCM,1,25.381
22731BC080055M,1,49.3765
22731TK060044X,2,32.538
22733BC060016M,2,10.3955
L22733-60-16BCM,2,10.3955
22733BC060018M,10,2.55
23134CA060,10,0.425
L23134-60CA,10,0.425
23118CA050,50,0.527
23118CA100,10,4.8535
23116CA080,10,4.0885
L23116-80CA,10,4.0885
0525P1200,20,2.6945
23121BC150LE,10,6.12
L23121-150BCL,10,6.12
23340CD1540,1,6.698
57304-640DHJ,20,4.539
23340CD2040,10,10.404
NSA57304-523DHJ,10,3.4935
57304-523DHJ,10,3.4935
23350CA040,20,1.292
L23350-40CA,20,1.292
23310CA010020,200,0.0935
23310CA015017,100,0.102
6714315300,1,31.994
83133035,1,31.994
710VR02S3C31AFJ,1,211.9135
710VR02S3D01AFK,1,209.61
920UN01A4BA5A,1,177.2505
RTS5-08,1,65.6625
ASNA2857-010,1,30.2685
84904T050,3,34.221
EFWRAP5,3,34.221
122351IS0,2,18.088
122351ISO,2,18.088
6452AE16,1,32.9885
951-00B16,1,32.9885
6452AE18,1,17.204
52889NOIR,10,2.04
101A01A01AH,1,57.8765
BJE118,2,18.309
001714-101-02,10,1.853
ASNA2857C001,1,3.8335
E0043-3B9,50,1.139
SST4H-M99,50,1.139
E0043-7B5,100,0.374
ASNA0021-25G09,10,3.5615
25G9,10,3.5615
ASNA0021-25G40,10,7.3695
A0021-25G40,10,7.3695
25G40,10,7.3695
Y25G40,10,7.3695
ASNA0021-25G19,10,3.3745
25G19,10,3.3745
55G14,10,3.502
EN4113S16NH,5,5.474
21S16,5,5.474
A0021-21S16,5,5.474
55210-041-008,2,34.459
2220-8AX50BS,2,34.459
ECS0727R02A,1,6.3665
001708-500-00,1,41.667
001706-500-00,1,41.4885
E0709A02-00,1,26.095
PBD-50-M-00,1,26.095
RBD-50-M-00,1,26.095
NSA936501TA1404,10,1.904
936501-TA1404,10,1.904
936501TA1404,10,1.904
153113,10,1.904
84413-20,1,35.156
EN3645-W5H,1,68.646
EN3645W5H,1,68.646
6200KAA10T5PN,1,86.5725
6200KAA22T55PN,1,139.6635
83730K-22-55PN,1,139.6635
85330KS2255PN,1,139.6635
6200KAA12T12SN,1,61.37
83730K1212SNK,1,61.37
MS27467T21B41SN,1,453.084
E0053W14B19SNF,1,147.084
6114GAA12B10SN,1,203.1075
FDBA56-12-10SNK-A5,1,203.1075
E0461F02,1,130.9425
55401-31,10,11.6025
NSE554-01-31,10,11.6025
681UN01E50P5,1,196.5285
E0718-01-30,1,0.204
ASNE0718-01-30,1,0.204
NSA9374940130,1,0.204
VG95343T19C002A,1,37.876
E0160-1-1H,10,2.448
ASNE0160-1-1H,10,2.448
B013-11,10,2.448
001705-111-56,1,33.7365
001715-111-56,1,41.0975
001715-101-56,1,42.16
E0535-W5-1KJ,1,64.379
111960402,1,64.379
E0535-09,1,64.379
BJE64,1,64.379
85007-050-A20,200,0.153
85007-300-015,2,13.566
85007-110-015,100,0.3315
85007-200-020,10,1.292
955120-101CPV,1,54.111
955120-204CPV,1,71.077
955120-205CPV,1,76.1855
955120-206CPV,1,80.0275
955120-209CPV,1,82.076
122354,10,6.018
P13TR47UM,2,13.0985
131185,1,47.4895
R176404,1,43.0525
NSA9381500320,1,69.2325
6150RDC20,1,69.2325
938150-03-20,1,69.2325
TXR41AB001006,1,54.0005
NSA55134-201,2,13.2685
55134-201,2,13.2685
212-12AD,2,13.2685
212-12AD*,2,13.2685
23202AM0350T,10,4.3095
L23202-35AMT,10,4.3095
23202AM0450L,10,6.256
L23202-45AML,10,6.256
23202AM0720L,1,70.805
ABM2S-AT-C0,20,1.054
993503-003,1,21.641
993101-185-5,2,6.9615
993105-304-5,5,13.294
993109-125-5,1,13.3195
993503-174,1,13.226
993503-255,1,13.039
993303-184-5,10,3.213
993303-203-3,2,9.6475
993303-226-5,10,10.251
E0089-10-350,10,3.638
H165-1-091-718,1,123.9385
NSA57304-523ADL,10,4.25
57304-523ADL,10,4.25
573045233,10,4.25
53301-20-010BCL,2,32.9885
53301-20-10BCL,2,32.9885
"1,8X10-64C8",10,9.112
"1,8X10 64C8",10,9.112
15-204,10,1.462
15204,10,1.462
259023-10,10,1.462
"2,52X19,05-21B6",1,13.3195
2-52X19-05-21B6,1,13.3195
"19,05X2,52-21B6",1,13.3195
22201BC080034L,5,20.7315
L22201-80-34BCL,5,20.7315
22220BC050016L,5,21.0205
22731BC060024M,5,8.4745
L22731-60-24BCM,5,8.4745
22731BC060011M,10,7.956
L22731-60-11BCM,10,7.956
ASNA0082-305,10,11.6705
54207-190-05-1L,10,11.6705
2101-0605,10,11.6705
21010605,10,11.6705
ASN52320BH070N,10,3.587
22541N070,10,3.587
7PH135M,10,3.587
DHS613-262.22,5,9.911
O-16A4,5,9.911
EN2997S01005AN,1,72.0375
983S01005PNL,1,72.0375
MS51957-27B,100,0.4845
SP3235-10,1,161.6105
83133112,1,161.6105
VR2074J,2,18.513
PT5141-2,1,82.2205
5141-2,1,82.2205
PS701-6127-002,1,98.702
PS701-6006-132,2,16.388
PS701-6006-082,1,19.567
PS701-6006-078,2,12.6905
PS7016006078,2,12.6905
PS701-6006-033,1,17.6885
PS701-6006-013,1,13.3875
P722699,5,11.73
EN3646A510,1,30.3025
6120RAB10B000N,1,30.3025
NSA938004-10,1,30.3025
NSA936507TG0408,1,13.498
151435,1,13.498
323175,1,13.498
MS28775-118,10,2.5925
21-89X2-62W175A,10,2.5925
M83461-1-118,10,2.5925
21-89X2-62W175,10,2.5925
8553-727,10,2.5925
MJ4034,1,29.1975
MJ11014,1,29.1975
ES7349,2,17.833
PL365,2,17.833
EN2240-1683,10,5.2275
E25124FB90-5X16,10,2.1845
E27113FB90-5X16,10,2.1845
E25123FB90-5X16,10,2.1845
E0053R22B55PNF,1,43.2225
E0053R18B32PNF,1,27.115
MBBN3404-G0,1,27.115
DRB7500-10B4,1,93.8145
DHS812-652.00,1,41.922
DHS812-652-00,1,41.922
DHS812-400.00,1,30.532
DHS795-191.22,1,91.171
DHS795-191-22,1,91.171
PC303A69,1,91.171
DHS793-511.11,1,65.705
DHS793-511-11,1,65.705
1976A109-07,1,65.705
DHS713-112.07,1,34.5865
DHS713-112-07,1,34.5865
001105-207-02,1,34.5865
1105-20-07,1,34.5865
DHS711-829.10,100,0.357
DHS711-829-10,100,0.357
DHS443-152.32,10,6.1965
SL601M6-12-7S,10,6.1965
DHS443-152.23,10,8.5
DHS443-152-23,10,8.5
SL601M5-15-9S,10,8.5
DHS443-152.21,10,1.666
DHS443-152-21,10,1.666
SL601M5-9-4S,10,1.666
DHS435-101.05,2,11.2455
DHS435-101-05,2,11.2455
5LA0109M,2,11.2455
DHS433-141.08,10,5.0745
DHS433-141-08,10,5.0745
8PA106,10,5.0745
BJD50-1-20S-A,1,24.072
BJD50-1-20S,1,24.072
"3,53X98,02-61D6",1,35.581
3-53X98-02-61D6,1,35.581
A4019,1,35.581
BJD21-3-20,1,55.369
"3,53X129-24B7",1,37.723
3-53X129-24B7,1,37.723
B1030-36,1,1545.8695
B103036,1,1545.8695
ASNA0229-683,2,60.5625
DHS812-604-00,2,60.5625
ASNA0229-654,1,18.4365
DHS812-354-00,1,18.4365
ASNA0081-203,10,6.7915
2413-0503,10,6.7915
ASNA0078A405,20,2.5245
CR3213-4-5,20,2.5245
CR3213-4-5.,20,2.5245
ASNA0045BC060L,5,4.4285
52347-060BCL,5,4.4285
ASNA0045-060BCL,5,4.4285
6PCR106,5,4.4285
ASNA0045BC140L,2,22.491
52347-140BCL,2,22.491
ASNA0045-140BCL,2,22.491
14PCR106,2,22.491
ASNA0045BC050L,5,4.658
52347-050BCL,5,4.658
ASNA0045-050BCL,5,4.658
5PCR106,5,4.658
ASNA0033-127,1,8.3725
55220-107-127,1,8.3725
MINOXM6,1,8.3725
0-107-127,1,8.3725
ASNA0021-11N15,100,3.536
ASN52320CM060E,10,4.2755
22541P060,10,4.2755
L22541-060P,10,4.2755
ASN52320BH040N,20,1.411
22541N040,20,1.411
L22541-040N,20,1.411
ASNA52320BH040N,20,1.411
4PH135M,20,1.411
AC62-30,10,2.5245
A5086149,1,130.101
A0164TK050042X,10,9.452
A0015G07A25016,25,2.822
A0015G07A25-016,25,2.822
993503-854,1,24.072
321897,10,2.414
9553240150,10,2.414
95504-1272N,10,3.332
1272,10,3.332
84303-212DEB,1,73.3295
84303-012DEB,1,73.3295
14708-01,1,73.3295
84303-208DEB,2,51.9605
14704-01,2,51.9605
834-50-001,1,194.8625
83-450-001,1,194.8625
83162,1,32.827
83161,1,33.099
821UN01S4BA5AC,1,183.0305
81810-270-21A7,5,14.3225
81810-100-23B7,5,9.758
81810-130-21B6,5,10.234
16-9X2-7FP60,5,10.234
701-2180,1,89.4965
2X90-23B7,2,20.1195
90 X 2   PB 7013,2,20.1195
2X90B237,2,20.1195
2X8-23B7,10,8.857
2X8B237,10,8.857
8 X 2  23B7,10,8.857
2X48-23B7,2,16.099
2X48B237,2,16.099
"2X13,2-61D6",1,13.158
2X13-2-61D6,1,13.158
2X11-23B7,5,10.829
"2,62X42,52-21B6",2,16.7365
2-62X42-52-21B6,2,16.7365
"2,5X52-21B6",2,17.3485
"2,5X52,21B6",2,17.3485
2-5X52-21B6,2,17.3485
2535-25,5,15.623
23351CA160,10,6.069
L23351-160CA,10,6.069
23351CA080,10,4.1735
L23351-80CA,10,4.1735
23350CA100,10,2.7795
L23350-100CA,10,2.7795
23340CD30130,2,37.4425
23340CD2050,1,11.016
23340CD1230,5,5.0915
23202AM0360T,20,1.343
L23202-36AMT,20,1.343
23201AM0450L,10,3.247
L23201-45AML,10,3.247
23201AM0200L,10,6.5365
E22163-200AXUL,10,6.5365
L23201-20AML,10,6.5365
23201AM0090T,25,3.1025
L23201-9AMT,25,3.1025
23134AG070LE,100,0.425
L23134-70AGL,100,0.425
23113AG050LE,10,1.6915
L23113-50AGL,10,1.6915
23111AG200LE,10,2.686
22733TK050003X,5,20.077
22733BC050011M,2,15.8525
22733BC050009M,10,20.655
22733BC060009M,10,5.9925
22733BC050004M,5,10.7185
22731BC100099M,2,70.907
22731BC060014M,10,10.863
L22731-60-14BCM,10,10.863
22731BC060013M,10,10.693
L22731-60-13BCM,10,10.693
22731BC060010M,10,10.166
L22731-60-10BCM,10,10.166
22731BC060009M,10,2.38
L22731-60-9BCM,10,2.38
22731BC050019M,10,10.829
L22731-50-19BCM,10,10.829
22719BC060024L,10,47.617
L22719-60-24BCL,10,47.617
22719BC040017L,5,10.9055
L22719-40-17BCL,5,10.9055
22719BC040011L,5,43.0355
L22719-40-11BCL,5,43.0355
5SMRB1209M,10,2.3205
22453BC180L,10,20.5275
L22453-180BCL,10,20.5275
22441BC140L,10,6.766
L22441-140BCL,10,6.766
22435BC100L,10,2.89
L22435-100BCL,10,2.89
22431CC020,5,5.406
L22431-20CC,5,5.406
58-2-009,50,1.428
TYPE422,50,1.428
22420BC060L,10,6.052
L22420-60BCL,10,6.052
22294AG020016U,5,19.278
22272BC050036L,10,3.485
55401-01,1,120.156
55401-1,1,120.156
22272BC040034L,5,3.672
L22272-40-34BCL,5,3.672
22272BC040026L,10,2.4055
L22272-40-26BCL,10,2.4055
22271TK040014X,5,5.474
L22271-40-14TKX,5,5.474
22271BC060050L,10,5.9585
22271BC060044L,10,5.321
22256BC060030L,5,6.086
L22256-60-30BCL,5,6.086
22256BC060020L,10,4.1565
22256BC060012L,10,3.213
L22256-60-12BCL,10,3.213
22256BC050030L,10,4.539
22256BC040024L,10,3.7485
22256BC030018L,20,2.176
22252BC060025L,10,3.519
22252BC060023L,10,6.069
22252BC060016L,10,5.049
L22252-60-16BCL,10,5.049
22252BC060010L,1,7.055
22252BC060008L,10,4.6495
L22252-60-8BCL,10,4.6495
551321,1,62.0415
22252BC050040L,10,6.4685
L22252-50-40BCL,10,6.4685
22252BC050030L,5,6.426
L22252-50-30BCL,5,6.426
22252BC050032L,10,5.6355
L22252-50-32BCL,10,5.6355
22252BC050023L,10,4.658
L22252-50-23BCL,10,4.658
22252BC050022L,10,4.556
L22252-50-22BCL,10,4.556
22251TK040032X,10,7.429
22251BC050032L,10,4.8025
22251BC030024L,10,3.3575
L22251-30-24BCL,10,3.3575
22251BC030020L,10,2.55
22251BC030018L,10,2.856
53511-390ACL,10,12.665
NSA53511 390ACL,10,12.665
53511-180CA,10,12.852
53507-140CA,1,65.025
22220BC050014L,10,6.7575
1607-142,10,6.7575
22220BC050030L,10,9.945
53301-20-015BCL,10,6.0435
53301-20-15BCL,10,6.0435
22220BC040008L,10,4.5645
1606-082,10,4.5645
22208CM050016E,10,9.843
53106-30ADL,20,0.986
22208BC080028L,10,2.2355
22208BC060008L,10,1.0115
22208BC050034L,10,1.53
22202BE100020L,2,21.1735
22202BE080010L,5,13.379
22202BC080046L,1,30.481
52409-64L,20,2.9835
LC6-470L,20,2.9835
22202BC080020L,10,12.087
52357CBD060N,10,2.873
52357BD060N,10,2.873
6SMR4209M,10,2.873
52357CBD040N,10,2.244
52357BD040N,10,2.244
4SMR4209M,10,2.244
22202BC080018L,10,5.746
L22202-80-18BCL,10,5.746
22202BC060056L,10,15.7845
22202BC060014L,10,2.805
L22202-60-14BCL,10,2.805
52350CCM060E,2,13.9655
52348-60-1,1,26.7835
6SE1098-1,1,26.7835
22202BC060010L,10,2.7115
52350CCM050E,1,12.0105
22202BC060009L,10,9.6645
52348-50-2,2,14.9345
5SE1098-2,2,14.9345
52.1.106,100,0.2465
52-1-106,100,0.2465
520501-70,100,1.5895
22201TK050024X,10,9.6135
L22201-50-24TKX,10,9.6135
22201TK050022X,2,11.9255
51403-08-127,100,1.343
22201BE080012M,10,5.6525
L22201-80-12BEM,10,5.6525
22201BE060034L,10,3.536
22201BE060005L,5,6.987
22201BC100016L,5,24.4035
22201BC080050L,1,10.047
22201BC080036L,2,10.438
L22201-80-36BCL,2,10.438
22201BC060056L,10,7.8795
22201BC060034L,10,7.463
L22201-60-34BCL,10,7.463
22201BC050044L,10,7.0125
L22201-50-44BCL,10,7.0125
22201BC060027L,10,7.004
L22201-60-27BCL,10,7.004
22201BC050040L,10,6.749
L22201-50-40BCL,10,6.749
22201BC050027L,10,1.6575
L22201-50-27BCL,10,1.6575
22201BC050026L,20,5.8905
L22201-50-26BCL,20,5.8905
22201BC050021L,10,6.307
L22201-50-21BCL,10,6.307
22129BE060024L,1,14.773
4P94-075,10,11.0245
22129BC080104L,1,28.6875
22129BC060060L,10,6.5365
L22129-60-60BCL,10,6.5365
22129BC060050L,10,13.566
22129BC060032L,10,13.464
22129BC050038L,10,13.838
L22129-50-38BCL,10,13.838
22129BC050032L,10,13.141
L22129-50-32BCL,10,13.141
22129BC050020L,20,11.0925
L22129-50-20BCL,20,11.0925
22126BE080022L,2,14.7645
22126BC050022L,10,8.041
22126BC050026L,10,2.72
22125CE060016,2,10.557
22125BC050056L,20,6.2135
22125BC050054L,10,6.8765
22125BC040036L,10,6.0945
L22125-40-36BCL,10,6.0945
218040710,1,33.099
2-62X40-95-20B8,1,33.099
40-95X2-62,1,33.099
21250UA06410,10,5.695
L21250-64-10UA,10,5.695
21217TB3212,100,1.1645
L21217-32-12TB,100,1.1645
4026424,1,87.38
210355,1,87.38
21215DC4813J,20,1.513
21215DC4013J,100,0.3315
L21215-40-13DCJ,100,0.3315
21215DC4009J,100,0.204
L21215-40-9DCJ,100,0.204
21215DC4008J,100,0.1785
L21215-40-8DCJ,100,0.1785
3717,1,34.2295
14100CNA101,1,58.446
CR5374,1,58.446
13526,1,72.522
12100CNA101,2,51.3825
23112TK050X,10,3.6125
21215DC4811J,100,0.3825
22453BC160L,10,4.0715
L22453-160BCL,10,4.0715
81810-090-21B6,5,9.8005
"10,5 X 2,7   E 875",5,9.8005
81810-100-21A7,1,18.309
81810-530-23B7,1,88.0515
113-67X6-99-70P106,1,88.0515
113-67X6-99-PB7013,1,88.0515
993303-065-5,10,3.0005
PS701-6006-012,1,13.2345
PS701-6006-017,1,14.365
U92AU,1,145.3755
ASNA0315-060020,2,6.3835
21215TB3222,20,2.7795
21217TB3220,20,2.2355
21217TB3200,20,2.2355
21217TB4815,10,1.717
22251TK040014X,10,6.171
22251TK040018X,2,6.426
22272BC030022L,10,4.6835
L22272-30-22BCL,10,4.6835
510UN01A01F5,1,97.614
681UN01A01A5,1,176.2985
690UN01F50A6,1,194.293
81810-100-24B7,1,13.634
83-450-501,1,192.4825
MIL-S8805-3-3A,1,192.4825
84307203,1,102.017
84-405003-3A,1,102.017
84307 203,1,102.017
84307-203,1,102.017
84307205,1,102.017
84405005-5A,1,102.017
84307-205,1,102.017
84405-005,1,102.017
993101-125-5,10,6.2985
993109-185-8,2,14.399
ASNA0045BC160L,1,33.864
16PCR106,1,33.864
52347-160BCL,1,33.864
ASNA0045-160BCL,1,33.864
BJD20-2-12,1,64.5235
BJD20-3-12,1,64.5235
BJD20-3-20,1,46.512
BJD20-3-20A,1,46.512
BJD30-2-20A,1,23.103
BJD30-3-20A,1,23.307
BJD50-1-20P-A,1,21.0375
BJD50-1-20P,1,21.0375
DHS443-152.54,1,12.461
SL601M8-19-1S*,1,12.461
DHS737-112.07,1,22.5505
DHS737-112-07,1,22.5505
H5000-2-064-081,1,118.116
P723856,1,139.6295
EN3723-030,20,0.3655
DIN6548003D,20,0.3655
NSA936501TA2008,10,2.567
936501-TA2008,10,2.567
152661,10,2.567
EN4113F05WH,2,4.4965
EN4113S05NH,5,3.5275
A0021-21S05,5,3.5275
E0449A28,5,3.5275
